CID,Pollutant Name,CasMp,canSMILES_value,Complexity_value,CovalentUnitCount_value,DefinedAtomStereoCount_value,DefinedBondStereoCount_value,ExactMass_value,FormalCharge_value,HBondAcceptor_value,HBondDonor_value,HeavyAtomCount_value,MolecularWeight_value,MonoIsotopicWeight_value,RotatableBond_value,TPSA_value,UndefinedAtomStereoCount_value,UndefinedBondStereoCount_value,FCSP3_value,AtomCount_value,Kappa1_value,Kappa2_value,Kappa3_value,LogP_value,Cartridge_Class_C18 (ODS),Cartridge_Class_C8,Cartridge_Class_C4 / C2 / C1 / C30,Cartridge_Class_Cyclohexyl (CH/CYH),Cartridge_Class_Phenyl (PH),Cartridge_Class_PEP / HRP / DVB,Cartridge_Class_HLB (Hydrophilic-Lipophilic Balance),Cartridge_Class_ENVI-Carb,Cartridge_Class_LiChrolut EN,Cartridge_Class_SDB,Cartridge_Class_XAD,Cartridge_Class_Silica (SI),Cartridge_Class_Alumina,Cartridge_Class_Aminopropyl (NH2),Cartridge_Class_Cyanopropyl (CN),Cartridge_Class_Diol (2OH),Cartridge_Class_Florisil (Magnesium Silicate),Cartridge_Class_FL-PR (Florisil-Polymer Hybrid),Cartridge_Class_Polyamide,"Cartridge_Class_SCX, PRS, BCX, CCX","Cartridge_Class_WCX, CBA, CM","Cartridge_Class_SAX, QMA, QAX","Cartridge_Class_WAX, PSA, DEA","Cartridge_Class_MAX, MCX, AX, CX, Screen-A/C","Cartridge_Class_DPA, Polyimine, Triacetic","Cartridge_Class_Aldehyde, DNPH","Cartridge_Class_DAU, THC","Cartridge_Class_RDX, DBX","Cartridge_Class_Dry, DVB, EPH","Cartridge_Class_PS2, AC2, Carbon Black/PSA",Cartridge_Class_Reversed-Phase+Lipid Remove,Cartridge_Class_Reversed-Phase+Normal Phase,Cartridge_Class_Chelating Resin,Cartridge_Class_Reversed-Phase+SCX,Cartridge_Class_Molecularly Imprinted Columns,Cartridge_Class_Metal Complexation,Cartridge_Class_Covalent Boronate Affinity,Cartridge_Class_QuECHERS,Cartridge_Class_Physical Dispersion and Porous Structure,Cartridge_Class_MWCNT,Cartridge_Class_Unknown,Cartridge_Class_Null Cartridge,Sample loading_labels,Condition_labels,Wash_labels,Elute_labels,Reconstitute_labels
['10001604'],Kanzonol Y,['1-131-CAS-29399'],CC(=CCC1=CC(=C(C=C1O)O)C(=O)C(CC2=CC(=C(C=C2)O)CC=C(C)C)O)C,617.0,1,1,0,410.209320068359,0,5,4,30,410.5,410.209320068359,8,98.0,0,0,0.32,30,23.23110509118954,10.1215003579255,6.224498440220032,4.607100000000005,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[1],"[1, 0]",[],[1],[1]
['10002934'],Captopril disulfide,['1-101-CAS-184297'],CC(CSSCC(C)C(=O)N1CCCC1C(=O)O)C(=O)N2CCCC2C(=O)O,565.0,1,4,0,432.138885498046,0,8,2,28,432.600006103515,432.138885498046,9,166.0,0,0,0.7777777777777778,28,22.86480664857352,10.38340635859696,5.559764999777883,1.7912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,[0],"[3, 0]",[0],[3],[0]
['10005'],Dicyandiamide,"['1-124-CAS-297496', '2-141-CAS-183178', '2-141-CAS-182868', '1-143-CAS-456700', '1-124-CAS-351941', '1-143-CAS-571623', '1-124-CAS-298313', '1-143-CAS-452537', '1-124-CAS-96754', '1-124-CAS-246801', '1-124-CAS-74180', '1-124-CAS-296219', '2-141-CAS-182537', '1-143-CAS-190853']",C(#N)N=C(N)N,100.0,1,0,0,84.0435943603515,0,2,2,6,84.0800018310546,84.0435943603515,0,88.1999969482421,0,0,0.0,6,4.76,2.025957446808511,2.759999999999999,-1.25912,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,"[3, 0]","[2, 3, 14, 0]","[4, 12, 0]","[14, 12, 1, 3, 4]","[4, 0]"
['10006384'],Quercetin 3-<ital>O</ital>-(6-<ital>O</ital>-acetyl-β-<smallcap>D</smallcap>-glucopyranoside),"['1-131-CAS-8955', '1-124-CAS-544036', '1-124-CAS-66507', '1-124-CAS-279575', '1-124-CAS-88101', '1-124-CAS-280948', '1-124-CAS-281691', '1-124-CAS-279553']",CC(=O)OCC1C(C(C(C(O1)OC2=C(OC3=CC(=CC(=C3C2=O)O)O)C4=CC(=C(C=C4)O)O)O)O)O,861.0,1,5,0,506.106048583984,0,13,7,36,506.399993896484,506.106048583984,6,213.0,0,0,0.3043478260869565,36,25.06489136980348,9.544225418053953,4.593514790711714,0.03189999999999926,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[0],"[1, 0]",[0],"[1, 0]",[4]
['10007'],Chlorphentermine,"['1-125-CAS-35003', '1-102-CAS-48509', '1-125-CAS-552551', '1-125-CAS-197180']",CC(C)(CC1=CC=C(C=C1)Cl)N,137.0,1,0,0,183.081481933593,0,1,1,12,183.679992675781,183.081481933593,2,26.0,0,0,0.4,12,9.557183958151702,3.461460988295771,3.244738765570308,2.6198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"[9, 19]","[0, 1, 19]","[8, 0]",[1],[36]
['10007294'],(<ital>R</ital>)-(+)-Nadifloxacin,"['1-143-CAS-432882', '1-116-CAS-433254']",CC1CCC2=C3N1C=C(C(=O)C3=CC(=C2N4CCC(CC4)O)F)C(=O)O,631.0,1,1,0,360.148529052734,0,7,2,26,360.399993896484,360.148529052734,2,81.099998474121,0,0,0.4736842105263158,26,17.02643512895739,6.08756588911286,2.493236238276521,2.307100000000001,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[0],"[1, 0]",[0],[1],[]
['10007994'],Ergocorninine,"['1-131-CAS-237085', '1-124-CAS-499704', '1-124-CAS-353722', '2-141-CAS-166138', '1-124-CAS-177750', '1-124-CAS-154618', '1-124-CAS-468511', '1-124-CAS-492954', '1-124-CAS-328627', '1-124-CAS-60856', '2-141-CAS-164734', '1-124-CAS-562878', '1-124-CAS-177838', '1-124-CAS-22295', '1-124-CAS-114439', '1-124-CAS-344890', '1-124-CAS-352611', '1-124-CAS-423822']",CC(C)C1C(=O)N2CCCC2C3(N1C(=O)C(O3)(C(C)C)NC(=O)C4CN(C5CC6=CNC7=CC=CC(=C67)C5=C4)C)O,1170.0,1,6,0,561.295104980468,0,6,3,41,561.700012207031,561.295104980468,4,118.0,0,0,0.5806451612903226,41,26.67390359414843,8.89425846627465,3.50023700578295,2.040200000000001,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"[42, 46, 3, 24, 4, 10]","[4, 1, 0]","[24, 4, 10]","[4, 42]","[3, 17, 4]"
['10009802'],Clemastanin B,['1-131-CAS-149463'],COC1=C(C=CC(=C1)CC2COC(C2CO)C3=CC(=C(C=C3)OC4C(C(C(C(O4)CO)O)O)O)OC)OC5C(C(C(C(O5)CO)O)O)O,978.0,1,13,0,684.262939453125,0,16,9,48,684.700012207031,684.262939453125,12,247.0,0,0,0.625,48,36.44083453772772,15.79788280293607,7.350567531453723,-2.400099999999995,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[0],"[1, 0]",[0],[2],[2]
['1001'],Benzeneethanamine,"['1-124-CAS-329121', '1-102-CAS-111207', '1-124-CAS-343741', '1-143-CAS-269004', '1-124-CAS-350075', '1-124-CAS-155135', '1-124-CAS-82963', '1-122-CAS-94168', '1-124-CAS-447305', '2-114-CAS-235660', '1-132-CAS-41666', '1-124-CAS-136946', '1-124-CAS-538669', '1-124-CAS-211747', '1-124-CAS-569838', '1-124-CAS-450896', '1-124-CAS-44097', '1-124-CAS-47358', '2-138-CAS-31605', '1-124-CAS-557362', '1-124-CAS-184976', '2-114-CAS-79959', '1-124-CAS-163293', '1-124-CAS-344273', '1-124-CAS-347646', '1-124-CAS-220083', '1-124-CAS-90894', '1-124-CAS-196858', '2-138-CAS-39171', '1-101-CAS-101744', '1-124-CAS-493411', '2-114-CAS-235943', '1-124-CAS-494779', '1-124-CAS-365059', '1-124-CAS-46014', '1-124-CAS-346572', '1-124-CAS-329304', '1-143-CAS-516728', '1-124-CAS-566850', '1-143-CAS-270753', '1-124-CAS-88199', '1-125-CAS-65873', '1-124-CAS-111887', '1-124-CAS-41893', '1-124-CAS-207095', '1-124-CAS-346218', '2-114-CAS-234343', '1-124-CAS-327513', '1-124-CAS-343932', '1-143-CAS-180096', '2-138-CAS-51898', '2-114-CAS-180094', '1-124-CAS-327785', '1-124-CAS-366965', '1-124-CAS-345277', '1-124-CAS-90121', '1-124-CAS-447138', '1-124-CAS-208686', '1-120-CAS-64607', '1-124-CAS-42959', '1-124-CAS-554910', '1-124-CAS-348368', '1-124-CAS-101398', '1-124-CAS-330471', '2-114-CAS-235630', '1-124-CAS-167538', '1-124-CAS-55330', '2-114-CAS-235540', '2-138-CAS-47876', '1-124-CAS-115318', '1-124-CAS-28892']",C1=CC=C(C=C1)CCN,65.0,1,0,0,121.089149475097,0,1,1,9,121.180000305175,121.089149475097,2,26.0,0,0,0.25,9,6.302249388753057,3.253988636849075,1.859038601827228,1.1878,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,"[29, 12, 2, 3, 17, 30, 34, 0]","[29, 19, 1, 2, 3, 0]","[29, 19, 1, 2, 8, 34, 0]","[27, 14, 1, 2, 3, 24]","[2, 8, 3, 5, 34, 0]"
['10010092'],<ital>N</ital>-Demethylerythromycin A,"['1-143-CAS-369630', '1-139-CAS-539658', '1-143-CAS-504214']",CCC1C(C(C(C(=O)C(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)NC)O)(C)O)C)C)O)(C)O,1150.0,1,18,0,719.445617675781,0,14,6,50,719.900024414062,719.445617675781,7,203.0,0,0,0.9444444444444444,50,43.10719862749904,16.7958766099046,9.06967589729665,1.443400000000005,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],"[1, 0]",[2],[1],[1]
['10011122'],Alexamorelin,"['2-114-CAS-142923', '2-114-CAS-140967', '1-125-CAS-441690', '1-125-CAS-302518', '1-125-CAS-443794', '2-114-CAS-136521', '1-125-CAS-168420', '1-125-CAS-544221', '2-114-CAS-40097', '1-102-CAS-437664', '2-114-CAS-139446']",CC1=C(C2=CC=CC=C2N1)CC(C(=O)NC(C)C(=O)NC(CC3=CNC4=CC=CC=C43)C(=O)NC(CC5=CC=CC=C5)C(=O)NC(CCCCN)C(=O)N)NC(=O)C(CC6=CN=CN6)NC(=O)C(C)N,1770.0,1,7,0,957.497314453125,0,10,12,70,958.099975585937,957.497314453125,25,330.0,0,0,0.36,70,51.5495150868682,24.44411201346517,13.88112924133469,0.841520000000008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,[9],"[2, 1, 0]","[2, 1, 0]","[1, 22]","[2, 9, 0]"
['10016922'],Nordihydrocodeine,['1-101-CAS-151045'],COC1=C2C3=C(CC4C5C3(CCN4)C(O2)C(CC5)O)C=C1,444.0,1,3,0,287.152130126953,0,4,2,21,287.350006103515,287.152130126953,1,50.7000007629394,2,0,0.6470588235294118,21,12.30056023943749,3.929683603462608,1.292576856343659,1.3829,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],"[1, 0]",[0],[4],[]
['10021885'],OPC 13015,['1-101-CAS-117225'],C1CCC(CC1)N2C(=NN=N2)CCCCOC3=CC4=C(C=C3)NC(=O)C=C4,523.0,1,0,0,367.20083618164,0,5,1,27,367.399993896484,367.20083618164,7,81.9000015258789,0,0,0.5,27,17.70079700519261,8.328139352687078,4.349319273068394,3.421500000000002,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[0],"[1, 0]","[2, 0]",[3],[]
['10023199'],Azacosterol,['1-101-CAS-356489'],CC12CCC3C(C1CCC2N(C)CCCN(C)C)CC=C4C3(CCC(C4)O)C,601.0,1,7,0,388.34536743164,0,3,1,28,388.600006103515,388.34536743164,5,26.7000007629394,0,0,0.92,28,20.87514033723258,7.70526393940832,3.396290964671042,4.562200000000005,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],"[2, 1]","[2, 12, 1]",[2],[0]
['10024'],Diethoxymethane,['1-124-CAS-519853'],CCOCOCC,25.2999992370605,1,0,0,104.08373260498,0,2,0,7,104.150001525878,104.08373260498,4,18.5,0,0,1.0,7,6.92,5.92,5.920000000000001,1.0169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,[17],"[7, 17, 1]",[0],[7],[]
['100248'],4′-Desmethylpapaverine,"['1-125-CAS-241390', '1-125-CAS-214880']",COC1=C(C=CC(=C1)CC2=NC=CC3=CC(=C(C=C32)OC)OC)O,394.0,1,0,0,325.131408691406,0,5,1,24,325.399993896484,325.131408691406,5,60.7999992370605,0,0,0.2105263157894737,24,15.92718390182617,6.661337060933215,2.9267803018246,3.557000000000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,[],"[9, 1, 0]","[9, 0]",[],[]
['10025103'],<ital>N</ital>-Stearoyldopamine,['2-114-CAS-184709'],CCCCCCCCCCCCCCCCCC(=O)NCCC1=CC(=C(C=C1)O)O,402.0,1,0,0,419.339935302734,0,3,3,30,419.600006103515,419.339935302734,19,69.599998474121,0,0,0.7307692307692307,30,26.32534817956875,18.09041866635029,14.30056757669071,7.01800000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,[1],[],[],[],[1]
['100252'],Ribavirin monophosphate,"['1-101-CAS-13763', '1-101-CAS-68480']",C1=NC(=NN1C2C(C(C(O2)COP(=O)(O)O)O)O)C(=O)N,446.0,1,4,0,324.047088623046,0,10,5,21,324.179992675781,324.047088623046,5,190.0,0,0,0.625,21,15.97892355547177,5.769844576189715,3.62537913082843,-2.894499999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,[19],"[1, 19]","[0, 1, 19]",[22],[0]
['10026656'],Eschweilenol C,"['1-124-CAS-282812', '1-124-CAS-280202', '1-131-CAS-501382']",CC1C(C(C(C(O1)OC2=C(C3=C4C(=C2)C(=O)OC5=C4C(=CC(=C5O)O)C(=O)O3)O)O)O)O,776.0,1,5,0,448.064178466796,0,12,6,32,448.299987792968,448.064178466796,2,192.0,0,0,0.3,32,20.32979285221992,6.706953720795247,2.63970726800438,-0.1865000000000002,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[0],"[1, 0]",[0],[1],[1]
['10028772'],Mycophenolic acid acyl glucuronide,"['1-101-CAS-186381', '1-101-CAS-140576']",CC1=C2COC(=O)C2=C(C(=C1OC)CC=C(C)CCC(=O)OC3C(C(C(C(O3)C(=O)O)O)O)O)O,827.0,1,5,1,496.158081054687,0,12,5,35,496.5,496.158081054687,9,189.0,0,0,0.5217391304347826,35,26.41537158036703,10.60516086592633,5.247385113144296,0.08401999999999965,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[4, 0]","[3, 1, 0]","[2, 0]","[4, 1]",[2]
['10030389'],Ergosinine,"['1-131-CAS-237085', '1-124-CAS-499704', '1-124-CAS-353722', '2-141-CAS-166138', '1-124-CAS-177750', '1-124-CAS-154618', '1-124-CAS-468511', '1-124-CAS-492954', '1-124-CAS-328627', '1-124-CAS-60856', '2-141-CAS-164734', '1-124-CAS-562878', '1-124-CAS-114439', '1-124-CAS-344890', '1-124-CAS-352611', '1-124-CAS-22295']",CC(C)CC1C(=O)N2CCCC2C3(N1C(=O)C(O3)(C)NC(=O)C4CN(C5CC6=CNC7=CC=CC(=C67)C5=C4)C)O,1140.0,1,6,0,547.279479980468,0,6,3,40,547.599975585937,547.279479980468,4,118.0,0,0,0.5666666666666667,40,25.73763346115349,8.644238308759729,3.483129642687144,1.794200000000001,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"[46, 3, 24, 4, 10]",[4],"[24, 4, 10]",[4],"[3, 4]"
['10032232'],Brachynoside,['1-131-CAS-180794'],CC1C(C(C(C(O1)OC2C(C(OC(C2OC(=O)C=CC3=CC(=C(C=C3)O)O)CO)OCCC4=CC(=C(C=C4)OC)OC)O)O)O)O,968.0,1,10,1,652.236694335937,0,15,7,46,652.599975585937,652.236694335937,13,223.0,0,0,0.5161290322580645,46,35.34611833453573,15.85948233434177,8.249074220927898,-0.409899999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,[],"[1, 0]",[],[1],[1]
['10032468'],Actein,['1-131-CAS-188459'],CC1CC2(C3C(O3)(C(O2)O)C)OC4C1C5(C(CC67CC68CCC(C(C8CCC7C5(C4)C)(C)C)OC9C(C(C(CO9)O)O)O)OC(=O)C)C,1390.0,1,19,0,676.382263183593,0,11,4,48,676.799987792968,676.382263183593,4,157.0,0,0,0.972972972972973,48,32.97938302343203,9.747970921229712,3.744034394056981,3.028600000000002,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[2],[],[],[1],[]
['10033203'],Deltorphin II,"['2-114-CAS-38060', '2-138-CAS-182779', '2-138-CAS-184253']",CC(C)C(C(=O)NC(C(C)C)C(=O)NCC(=O)N)NC(=O)C(CCC(=O)O)NC(=O)C(CC1=CC=CC=C1)NC(=O)C(C)NC(=O)C(CC2=CC=C(C=C2)O)N,1360.0,1,6,0,782.396301269531,0,11,10,56,782.900024414062,782.396301269531,22,301.0,0,0,0.4736842105263158,56,46.1154455860354,22.36518754551845,15.74459346784645,-1.273099999999994,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],"[1, 0]",[0],"[3, 36, 30]","[36, 30]"
['10033524'],Ophiopogonin D',"['1-131-CAS-63929', '1-131-CAS-463262']",CC1CCC2(C(C3C(O2)CC4C3(CCC5C4CC=C6C5(CCC(C6)OC7C(C(C(C(O7)CO)O)OC8C(C(C(CO8)O)O)O)OC9C(C(C(C(O9)C)O)O)O)C)C)C)OC1,1570.0,1,25,0,854.466369628906,0,16,8,60,855.0,854.466369628906,7,236.0,0,0,0.9545454545454546,60,44.30928125159638,16.51465126355554,7.189490114464101,0.8532000000000057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,[0],[],[],"[2, 1, 0]",[1]
['10036637'],"2,5-Dimethoxy-4-nitrophenethylamine","['1-125-CAS-418253', '1-125-CAS-79144']",COC1=CC(=C(C=C1CCN)OC)[N+](=O)[O-],231.0,1,0,0,226.095352172851,0,5,1,16,226.229995727539,226.095352172851,4,90.3000030517578,0,0,0.4,16,12.25052186177715,5.315116415365763,2.401150843395385,1.1132,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],[1],[0],[1],[]
['10037499'],5′-Deoxy-5-fluorocytidine,"['1-101-CAS-21596', '1-101-CAS-10244', '1-101-CAS-17454', '1-101-CAS-10321', '1-101-CAS-245269', '1-101-CAS-419711', '1-101-CAS-185025', '1-101-CAS-68229']",CC1C(C(C(O1)N2C=C(C(=NC2=O)N)F)O)O,411.0,1,4,0,245.081176757812,0,5,3,17,245.210006713867,245.081176757812,1,108.0,0,0,0.5555555555555556,17,11.96043230713728,4.058379110355049,1.900233076916416,-1.3963,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,[19],"[19, 1, 0]",[19],"[2, 1]",[0]
['100383'],Propoxyacetic acid,['2-112-CAS-147045'],CCCOCC(=O)O,70.099998474121,1,0,0,118.062995910644,0,3,1,8,118.129997253417,118.062995910644,4,46.5,0,0,0.8,8,7.43,4.58552099533437,5.43,0.4976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[0],[],[],[1],[]
['10038552'],(-)-Verrucarol,"['2-141-CAS-3178141', '2-141-CAS-14512', '2-141-CAS-74082', '2-141-CAS-64830', '2-141-CAS-21623', '2-141-CAS-11142', '2-141-CAS-4097', '2-141-CAS-19401', '2-141-CAS-11069', '2-141-CAS-15342', '2-141-CAS-66336', '2-141-CAS-3178178', '1-124-CAS-22295', '2-141-CAS-59003', '2-141-CAS-40769', '1-124-CAS-177702', '1-124-CAS-87901']",CC1=CC2C(CC1)(C3(C(CC(C34CO4)O2)O)C)CO,461.0,1,6,0,266.151794433593,0,4,2,19,266.329986572265,266.151794433593,1,62.2000007629394,0,0,0.8666666666666667,19,12.33049667551649,3.421955610893319,1.125315778364706,1.0125,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,[4],"[2, 1, 0]",[0],[1],[2]
['1004'],Phosphoric acid,"['1-132-CAS-151125', '1-131-CAS-540404', '1-131-CAS-3189449', '1-132-CAS-103187', '2-111-CAS-173714', '1-143-CAS-21236', '1-132-CAS-170105']",OP(=O)(O)O,49.7999992370605,1,0,0,97.9768981933593,0,4,3,5,97.995002746582,97.9768981933593,0,77.8000030517578,0,0,0.0,5,5.109999999999999,1.064829757768784,1512.24223140496,-0.9286000000000001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,[],"[1, 0]",[0],"[2, 1]",[]
['10041070'],Altrenogest,"['1-125-CAS-93087', '1-125-CAS-168710', '1-125-CAS-71526', '1-125-CAS-138953', '1-125-CAS-28333', '1-125-CAS-272491', '1-124-CAS-497991', '1-102-CAS-153391', '1-101-CAS-144935', '1-124-CAS-351566', '1-125-CAS-8981', '1-139-CAS-496479', '1-143-CAS-485832', '1-101-CAS-362764', '1-101-CAS-43097', '1-143-CAS-478754', '1-102-CAS-48509', '1-125-CAS-114695', '1-143-CAS-525481']",CC12C=CC3=C4CCC(=O)C=C4CCC3C1CCC2(CC=C)O,665.0,1,4,0,310.193267822265,0,2,1,23,310.399993896484,310.193267822265,2,37.2999992370605,0,0,0.5714285714285714,23,15.13729511942171,5.041435498782958,2.003864517678995,4.275600000000005,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"[9, 29, 0]","[9, 1, 0]","[2, 9, 5, 0]","[46, 1, 6]","[2, 28, 1, 6]"
['10041593'],12-Hydroxyeicosapentaenoic acid;12-HEPE,"['2-114-CAS-83730', '1-122-CAS-276253', '2-114-CAS-126775', '2-111-CAS-232106', '1-122-CAS-46559', '2-114-CAS-261830', '2-114-CAS-258570', '1-122-CAS-276068', '2-114-CAS-259618', '2-114-CAS-263244', '2-114-CAS-119854', '1-122-CAS-35827', '2-114-CAS-125577', '2-114-CAS-126944', '2-114-CAS-187629', '1-122-CAS-275177', '2-114-CAS-208', '1-122-CAS-36342', '2-114-CAS-63495', '2-114-CAS-248729', '2-114-CAS-3229432', '2-114-CAS-32063', '1-122-CAS-108699', '2-114-CAS-263247', '2-114-CAS-49221']",CCC=CCC=CCC(C=CC=CCC=CCCCC(=O)O)O,428.0,1,0,5,318.219482421875,0,3,2,23,318.399993896484,318.219482421875,13,57.5,1,0,0.45,23,21.13,16.49964958321472,18.08045864690623,4.963500000000005,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"[2, 0, 22]","[29, 6, 1, 2, 20, 0]","[6, 1, 2, 4, 5, 0]","[3, 20, 1, 6]","[2, 13, 1]"
['10045570'],JWH 200,"['1-125-CAS-85202', '1-102-CAS-115379', '1-125-CAS-369201', '1-125-CAS-16374', '1-125-CAS-277547']",C1COCCN1CCN2C=C(C3=CC=CC=C32)C(=O)C4=CC=CC5=CC=CC=C54,561.0,1,0,0,384.183776855468,0,3,0,29,384.5,384.183776855468,5,34.5,0,0,0.24,29,18.10231989944657,7.817926444819449,3.456734450980176,4.357700000000004,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,"[3, 0]","[1, 0]","[2, 1, 33, 0]","[20, 47]","[2, 4, 1]"
['10046'],Tribromonitromethane,"['1-132-CAS-297879', '1-143-CAS-298969', '1-132-CAS-298547', '1-132-CAS-296613', '1-132-CAS-298549', '1-132-CAS-294602']",C([N+](=O)[O-])(Br)(Br)Br,79.9000015258789,1,0,0,296.745880126953,0,2,0,7,297.730010986328,294.747924804687,0,45.7999992370605,0,0,1.0,7,7.840000000000001,2.409303985722784,3.424795321637427,2.0591,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,[0],"[6, 48, 1, 10]",[0],"[6, 48, 10]",[48]
