CID,Pollutant Name,CasMp,canSMILES_value,Complexity_value,CovalentUnitCount_value,DefinedAtomStereoCount_value,DefinedBondStereoCount_value,ExactMass_value,FormalCharge_value,HBondAcceptor_value,HBondDonor_value,HeavyAtomCount_value,MolecularWeight_value,MonoIsotopicWeight_value,RotatableBond_value,TPSA_value,UndefinedAtomStereoCount_value,UndefinedBondStereoCount_value,FCSP3_value,AtomCount_value,Kappa1_value,Kappa2_value,Kappa3_value,LogP_value,Cartridge_Class_C18 (ODS),Cartridge_Class_C8,Cartridge_Class_C4 / C2 / C1 / C30,Cartridge_Class_Cyclohexyl (CH/CYH),Cartridge_Class_Phenyl (PH),Cartridge_Class_PEP / HRP / DVB,Cartridge_Class_HLB (Hydrophilic-Lipophilic Balance),Cartridge_Class_ENVI-Carb,Cartridge_Class_LiChrolut EN,Cartridge_Class_SDB,Cartridge_Class_XAD,Cartridge_Class_Silica (SI),Cartridge_Class_Alumina,Cartridge_Class_Aminopropyl (NH2),Cartridge_Class_Cyanopropyl (CN),Cartridge_Class_Diol (2OH),Cartridge_Class_Florisil (Magnesium Silicate),Cartridge_Class_FL-PR (Florisil-Polymer Hybrid),Cartridge_Class_Polyamide,"Cartridge_Class_SCX, PRS, BCX, CCX","Cartridge_Class_WCX, CBA, CM","Cartridge_Class_SAX, QMA, QAX","Cartridge_Class_WAX, PSA, DEA","Cartridge_Class_MAX, MCX, AX, CX, Screen-A/C","Cartridge_Class_DPA, Polyimine, Triacetic","Cartridge_Class_Aldehyde, DNPH","Cartridge_Class_DAU, THC","Cartridge_Class_RDX, DBX","Cartridge_Class_Dry, DVB, EPH","Cartridge_Class_PS2, AC2, Carbon Black/PSA",Cartridge_Class_Reversed-Phase+Lipid Remove,Cartridge_Class_Reversed-Phase+Normal Phase,Cartridge_Class_Chelating Resin,Cartridge_Class_Reversed-Phase+SCX,Cartridge_Class_Molecularly Imprinted Columns,Cartridge_Class_Metal Complexation,Cartridge_Class_Covalent Boronate Affinity,Cartridge_Class_QuECHERS,Cartridge_Class_Physical Dispersion and Porous Structure,Cartridge_Class_MWCNT,Cartridge_Class_Unknown,Cartridge_Class_Null Cartridge,Sample loading_labels,Condition_labels,Wash_labels,Elute_labels,Reconstitute_labels
['63009'],Sertraline hydrochloride,"['1-101-CAS-271454', '1-101-CAS-274005', '1-143-CAS-551490', '1-143-CAS-502509', '1-101-CAS-197633']",CNC1CCC(C2=CC=CC=C12)C3=CC(=C(C=C3)Cl)Cl.Cl,322.0,2,2,0,341.050476074218,0,1,2,21,342.700012207031,341.050476074218,2,12.0,0,0,0.2941176470588235,21,16.63727511527633,7.019949169073973,3.21663582188673,5.601400000000003,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],[1],[],[1],[1]
['63013'],Tramadol hydrochloride,"['1-120-CAS-212855', '1-101-CAS-179767']",CN(C)CC1CCCCC1(C2=CC(=CC=C2)OC)O.Cl,282.0,2,2,0,299.16519165039,0,3,2,20,299.829986572265,299.16519165039,4,32.7000007629394,0,0,0.625,20,17.2820020800832,7.298976087999981,3.656764824865655,3.056400000000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,[9],"[9, 1]","[9, 7, 5]",[],[6]
['63021'],17-(Acetyloxy)-19-norpregn-4-en-20-yn-3-one,"['1-101-CAS-110297', '1-101-CAS-173534']",CC(=O)OC1(CCC2C1(CCC3C2CCC4=CC(=O)CCC34)C)C#C,695.0,1,6,0,340.203857421875,0,3,0,25,340.5,340.203857421875,3,43.4000015258789,0,0,0.7272727272727273,25,16.88419700586605,5.726927222642201,2.329476249465293,4.063300000000003,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],[18],[],[18],[2]
['630355'],Bisphenol P,"['2-114-CAS-298637', '1-124-CAS-235224', '1-143-CAS-447106', '1-143-CAS-550958', '2-114-CAS-298701', '1-124-CAS-227346', '1-124-CAS-441116', '1-124-CAS-223695', '1-124-CAS-424539', '1-143-CAS-552326', '1-124-CAS-273305', '1-143-CAS-507247', '1-143-CAS-528602', '2-141-CAS-238874', '2-141-CAS-238588', '2-141-CAS-237016', '1-124-CAS-441509', '1-124-CAS-468935', '2-141-CAS-179322', '1-132-CAS-550913', '1-120-CAS-543610', '1-143-CAS-476349', '2-141-CAS-237440', '1-139-CAS-550893', '1-124-CAS-84288', '1-118-CAS-138410', '1-120-CAS-515277', '1-143-CAS-450325', '1-124-CAS-349991', '1-124-CAS-57619', '1-124-CAS-225042', '1-124-CAS-545778', '2-141-CAS-319117', '2-112-CAS-282418', '2-112-CAS-233868', '1-124-CAS-272058', '2-141-CAS-238944', '1-120-CAS-307359', '1-143-CAS-552098', '2-141-CAS-236656', '1-124-CAS-106717', '2-114-CAS-299182', '2-141-CAS-237025', '2-114-CAS-299170', '2-141-CAS-238565', '2-141-CAS-180028', '2-141-CAS-238265', '2-141-CAS-238433', '2-141-CAS-236448', '1-124-CAS-274532', '1-120-CAS-477466', '1-124-CAS-443238', '2-141-CAS-238703', '1-124-CAS-550975', '2-141-CAS-318891', '1-143-CAS-512012', '1-124-CAS-550927']",CC(C)(C1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O)C3=CC=C(C=C3)O,389.0,1,0,0,346.193267822265,0,2,2,26,346.5,346.193267822265,4,40.5,0,0,0.25,26,18.06314374213641,6.527563267364224,3.321122833735402,5.749600000000006,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"[11, 12, 6, 1, 33, 2, 3, 4, 30, 0]","[46, 26, 6, 1, 9, 3, 24, 5, 30, 0]","[6, 22, 45, 2, 5, 17, 30, 0]","[46, 12, 26, 6, 1, 3, 24]","[12, 6, 1, 3, 2, 0]"
['630403'],Hulupone,['1-124-CAS-226671'],CC(C)CC(=O)C1=C(C(=O)C(C1=O)(CC=C(C)C)CC=C(C)C)O,617.0,1,0,0,332.198760986328,0,4,1,24,332.399993896484,332.198760986328,7,71.4000015258789,0,0,0.55,24,20.07539264639128,7.73364128281256,4.106196664302133,4.264500000000004,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],[],[0],[3],[]
['6305'],<smallcap>L</smallcap>-Tryptophan,"['1-124-CAS-252909', '1-139-CAS-8577', '2-114-CAS-91837', '1-124-CAS-304226', '1-124-CAS-7893', '1-139-CAS-129521', '1-124-CAS-301905', '1-124-CAS-31988', '1-124-CAS-144547', '1-124-CAS-3186038', '1-124-CAS-18421', '1-131-CAS-4054', '2-114-CAS-72049', '2-114-CAS-153125', '1-132-CAS-167323', '1-139-CAS-104306', '1-131-CAS-158992', '1-131-CAS-444174', '2-114-CAS-224483', '2-111-CAS-220620', '2-114-CAS-114797', '2-114-CAS-162085', '2-111-CAS-127314', '1-124-CAS-131231', '2-114-CAS-53023', '1-124-CAS-306132', '1-131-CAS-72420', '1-131-CAS-3186064', '2-105-CAS-144677', '1-124-CAS-36384', '2-105-CAS-148327', '1-139-CAS-20446', '1-124-CAS-3183233', '1-124-CAS-90416', '2-114-CAS-223511', '1-139-CAS-144293', '2-114-CAS-71185', '1-124-CAS-525909', '1-143-CAS-166715', '1-131-CAS-14568', '2-114-CAS-140010', '1-139-CAS-31603', '1-124-CAS-348398', '1-124-CAS-1160', '1-124-CAS-163079', '1-101-CAS-95598', '1-101-CAS-109419', '2-114-CAS-114544', '2-114-CAS-112177', '2-114-CAS-221945', '1-124-CAS-225490', '1-131-CAS-149551', '1-124-CAS-525889', '2-111-CAS-163485', '1-124-CAS-74740', '1-124-CAS-75373', '1-139-CAS-12890', '1-124-CAS-103028', '1-139-CAS-19145', '1-132-CAS-299983', '2-114-CAS-18428', '1-124-CAS-451015', '2-114-CAS-65309', '1-124-CAS-178549', '2-114-CAS-52295', '1-124-CAS-21524', '1-139-CAS-5281', '2-114-CAS-14054', '2-114-CAS-102688', '1-124-CAS-6742', '2-114-CAS-180853', '1-139-CAS-334070', '1-124-CAS-3185405', '2-114-CAS-61752', '2-141-CAS-263126', '1-124-CAS-74163', '1-124-CAS-280167', '1-120-CAS-21094', '2-114-CAS-221482', '1-132-CAS-298855', '1-124-CAS-511930', '2-114-CAS-115547', '1-124-CAS-108645', '1-124-CAS-106924', '1-124-CAS-163293', '1-125-CAS-200205', '1-124-CAS-117800', '1-132-CAS-294632', '1-124-CAS-478988', '1-139-CAS-23972', '2-114-CAS-115583', '2-105-CAS-145924', '2-114-CAS-77383', '1-139-CAS-133218', '2-114-CAS-39709', '1-120-CAS-735', '1-124-CAS-205298', '1-139-CAS-7590', '2-114-CAS-40538', '1-124-CAS-43689', '1-124-CAS-104782', '2-114-CAS-24179', '2-114-CAS-31174', '1-139-CAS-19796', '2-114-CAS-20898', '1-116-CAS-69995', '1-139-CAS-9111', '1-139-CAS-15565', '1-124-CAS-138102', '2-114-CAS-287742', '2-114-CAS-45539', '1-124-CAS-302303', '1-124-CAS-205063', '2-111-CAS-55342', '2-114-CAS-67228', '2-114-CAS-81177', '1-139-CAS-108589', '1-139-CAS-23678', '2-114-CAS-80601', '1-116-CAS-238580', '2-114-CAS-8022', '1-131-CAS-14878', '2-114-CAS-308862', '2-114-CAS-77465', '2-111-CAS-18430', '1-131-CAS-172920', '2-114-CAS-239557', '2-114-CAS-151776', '1-124-CAS-42008', '1-139-CAS-17231', '1-132-CAS-207811', '2-105-CAS-143819', '2-114-CAS-162245', '1-132-CAS-189861', '2-114-CAS-96961', '1-139-CAS-4593', '2-107-CAS-221743', '2-114-CAS-237115', '2-114-CAS-63367', '1-124-CAS-503371', '2-114-CAS-64289', '2-138-CAS-72027', '1-131-CAS-236893', '1-124-CAS-3179105']",C1=CC=C2C(=C1)C(=CN2)CC(C(=O)O)N,245.0,1,1,0,204.089874267578,0,3,3,15,204.220001220703,204.089874267578,3,79.099998474121,0,0,0.1818181818181818,15,9.733912004652453,3.744477633359753,1.845359890225641,1.1223,1,1,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,"[28, 1, 3, 8, 9, 2, 4, 10, 0]","[14, 1, 9, 8, 4, 49, 34, 0]","[12, 28, 22, 1, 2, 9, 3, 4, 30, 0]","[27, 14, 12, 1, 2, 9, 4, 35, 38, 0]","[2, 8, 9, 4, 38, 0]"
['6305574'],Ferulic acid 4-<ital>O</ital>-sulfate;(2<ital>E</ital>)-3-[3-Methoxy-4-(sulfooxy)phenyl]-2-propenoic acid,"['1-101-CAS-510112', '1-131-CAS-78709', '2-114-CAS-172362', '1-101-CAS-360406']",COC1=C(C=CC(=C1)C=CC(=O)O)OS(=O)(=O)O,408.0,1,0,1,274.014709472656,0,7,2,18,274.25,274.014709472656,5,119.0,0,0,0.1,18,14.00273525721455,5.516826397508682,4.435519565463598,0.9746000000000001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],"[1, 0]",[0],[1],[4]
['63059'],"4,4′-(2-Phenyl-1-butenylidene)bis[phenol]",['1-101-CAS-20262'],CCC(=C(C1=CC=C(C=C1)O)C2=CC=C(C=C2)O)C3=CC=CC=C3,382.0,1,0,0,316.146331787109,0,2,2,24,316.399993896484,316.146331787109,4,40.5,0,0,0.09090909090909091,24,15.87901701323251,7.05078125,3.329367225527312,5.466900000000006,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],[1],[4],[3],[3]
['6306'],<smallcap>L</smallcap>-Isoleucine,"['1-124-CAS-252909', '1-124-CAS-524121', '2-114-CAS-160131', '2-114-CAS-91837', '2-114-CAS-218435', '1-124-CAS-304226', '1-139-CAS-8577', '1-124-CAS-7893', '2-111-CAS-3231261', '1-139-CAS-129521', '1-124-CAS-301905', '1-124-CAS-31988', '1-124-CAS-144547', '1-124-CAS-3186038', '1-124-CAS-18421', '1-131-CAS-4054', '2-111-CAS-31544', '2-114-CAS-153125', '2-114-CAS-216457', '1-139-CAS-104306', '1-131-CAS-158992', '1-124-CAS-112988', '2-114-CAS-53023', '1-124-CAS-306132', '2-114-CAS-150210', '2-114-CAS-104756', '2-114-CAS-238695', '1-139-CAS-20446', '1-124-CAS-90416', '1-139-CAS-144293', '2-114-CAS-71185', '2-111-CAS-288144', '2-114-CAS-182223', '1-143-CAS-166715', '1-131-CAS-14568', '2-114-CAS-111728', '1-124-CAS-439520', '1-139-CAS-31603', '1-124-CAS-1160', '2-114-CAS-216780', '2-111-CAS-3231320', '1-124-CAS-225490', '1-131-CAS-149551', '1-139-CAS-12890', '1-124-CAS-492190', '1-139-CAS-19145', '1-131-CAS-238275', '1-132-CAS-299983', '2-114-CAS-18428', '1-124-CAS-451015', '2-138-CAS-4999', '1-124-CAS-178549', '1-124-CAS-21524', '1-139-CAS-5281', '2-114-CAS-159266', '1-139-CAS-334070', '1-143-CAS-507674', '2-114-CAS-61752', '2-114-CAS-168665', '2-114-CAS-301414', '2-114-CAS-111245', '1-120-CAS-21094', '1-132-CAS-298855', '1-124-CAS-511930', '1-131-CAS-160739', '1-124-CAS-108645', '1-124-CAS-163293', '1-124-CAS-511263', '2-138-CAS-39171', '1-132-CAS-294632', '1-139-CAS-23972', '2-114-CAS-300760', '2-114-CAS-77383', '1-139-CAS-133218', '2-114-CAS-39709', '1-120-CAS-735', '2-114-CAS-158353', '1-124-CAS-205298', '2-138-CAS-51898', '1-139-CAS-7590', '1-124-CAS-43689', '2-114-CAS-111308', '1-124-CAS-104782', '1-139-CAS-19796', '2-114-CAS-20898', '1-124-CAS-67750', '1-116-CAS-69995', '1-139-CAS-9111', '1-139-CAS-15565', '1-124-CAS-138102', '2-114-CAS-300474', '2-114-CAS-287742', '2-114-CAS-45539', '2-114-CAS-67228', '2-114-CAS-111071', '2-111-CAS-55342', '1-124-CAS-205063', '1-139-CAS-108589', '1-139-CAS-23678', '1-124-CAS-180178', '2-138-CAS-31605', '1-131-CAS-14878', '1-101-CAS-339324', '2-114-CAS-110752', '1-131-CAS-172920', '2-114-CAS-151776', '2-114-CAS-318382', '1-124-CAS-533795', '1-139-CAS-17231', '1-132-CAS-207811', '1-143-CAS-541839', '1-131-CAS-241773', '1-139-CAS-4593', '1-124-CAS-455656', '1-124-CAS-359155', '2-114-CAS-217491', '2-138-CAS-47876', '2-113-CAS-162992']",CCC(C)C(C(=O)O)N,103.0,1,2,0,131.094635009765,0,3,2,9,131.169998168945,131.094635009765,3,63.2999992370605,0,0,0.8333333333333334,9,8.43,3.454517317421779,2.463571024538683,0.4444,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,"[1, 9, 8, 4, 0]","[1, 9, 8, 4, 49, 0]","[12, 22, 1, 2, 9, 3, 4, 8, 0]","[27, 12, 1, 2, 3, 9, 4, 0]","[2, 4, 9, 0]"
['630683'],"1,8-Dibromoanthracene",['2-141-CAS-289522'],C1=CC2=CC3=C(C=C2C(=C1)Br)C(=CC=C3)Br,229.0,1,0,0,335.897216796875,0,0,0,16,336.019989013671,333.899291992187,0,0.0,0,0,0.0,16,10.30393377892815,3.86286555670109,1.568300295848884,5.518000000000002,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[37],"[7, 5, 1]",[],[11],[]
