CasMp,Sample loading,Condition,Wash,Elute,Reconstitute
['2-114-CAS-57688'],"(methanol, null); (water, null)",,"(water, null)","(ethyl acetate, null)","(acetone, null)"
['1-120-CAS-210854'],"(formic acid+sodium acetate, null)","(dichloromethane, null); (methanol, null); (water, null)","(water, null)","(dichloromethane+methanol, 0.5)","(unknown, null)"
['1-120-CAS-179989'],"(formic acid+sodium acetate, null)","(dichloromethane, null); (methanol, null); (water, null)","(water, null)","(dichloromethane+methanol, 0.5)","(unknown, null)"
['1-125-CAS-208611'],"(unknown, null)","(methanol, null); (water, null); (methanol, null); (water, null); (methanol, null); (water, null)","(water, null)","(methanol, null)",
['1-132-CAS-217362'],"(acetic acid+acetonitrile, null); (unknown, null)","(acetonitrile, null); (unknown, null); (acetonitrile, null); (water, null); (unknown, null)","(unknown, null); (unknown, null)","(unknown, null); (acetonitrile+water, 0.85); (acetonitrile, null); (ethyl acetate, null)","(water, null)"
['1-143-CAS-473433'],"(water, null)","(methanol, null); (water, null)",,"(dichloromethane, null)",
['1-124-CAS-517271'],"(water, null)","(methanol, null); (water, null)","(water, null)","(methanol, null)","(methanol, null)"
['1-143-CAS-41251'],"(water, null)","(methanol, null); (water, null)","(water, null); (methanol+water, 0.7)","(methanol, null)","(dichloromethane, null)"
['1-143-CAS-207634'],"(water, null)","(methanol, null); (water, null)","(water, null); (methanol+water, 0.7)","(methanol, null)","(dichloromethane, null)"
['1-143-CAS-499109'],"(water, null)","(methanol, null); (water, null); (unknown, null)",,"(methanol, null); (acetonitrile+methanol, 0.5)",
['1-125-CAS-514872'],"(phosphate, 0.5)","(methanol, null); (phosphate, null)","(methanol, null)","(methanol, null)","(water, null)"
['1-124-CAS-308012'],"(water, null)","(methanol, null); (water, null)",,"(hexane, null)","(methanol, null)"
['1-143-CAS-224655'],,"(acetone, null); (water, null)",,"(methanol, null)","(methanol, null)"
['2-114-CAS-238866'],"(water, null)","(methanol, null); (water, null)",,"(acetonitrile, null)","(methanol, null)"
['1-124-CAS-469637'],"(unknown, null)","(dichloromethane, null); (methanol, null); (ethanol+water, 0.12)","(water, null)","(dichloromethane, null)",
['1-143-CAS-500255'],,,"(water, null)","(methanol, null)","(acetonitrile+water, 0.35)"
['1-128-CAS-113567'],"(water, null)","(methanol, null); (water, null)",,"(acetone, null)",
['2-111-CAS-242199'],"(methanol+water, 0.25)","(methanol, null); (water, null)","(water, null); (methanol+water, 0.25); (acetonitrile, null)","(methanol, null); (methanol, null); (methanol, null)","(acetonitrile+methanol, 0.8888888888888888)"
['1-143-CAS-511354'],"(water, null)","(dichloromethane, null); (acetonitrile, null); (water, null)",,"(dichloromethane, null)",
['1-143-CAS-510521'],"(water, null)","(dichloromethane, null); (acetonitrile, null); (water, null)",,"(dichloromethane, null)",
['1-120-CAS-158903'],"(methanol+water, 0.5)","(methanol, null); (water, null)",,"(ethyl acetate, null)",
['1-128-CAS-4166'],"(water, null)","(methanol, null); (water, null)",,"(acetone, null)",
['1-134-CAS-72251'],"(unknown, null)","(methanol, null); (water, null)","(dichloromethane, null)","(dichloromethane, null)",
