CasMp,Sample loading,Condition,Wash,Elute,Reconstitute
['1-132-CAS-3230045'],water,methanol; water,,methanol,
['1-132-CAS-3229462'],water,methanol; water,,acetonitrile,
['1-142-CAS-3184960'],,,,nitric acid+water,nitric acid+water
['1-142-CAS-3179552'],water,,,hydrochloric acid,hydrochloric acid
['1-132-CAS-3229587'],,methanol; water,,methanol,
['1-143-CAS-3177897'],water,methanol; water,,methanol; water,
['1-124-CAS-3225825'],,,,,acetonitrile
['1-143-CAS-3178412'],water,,,hydrochloric acid,
['1-124-CAS-3184389'],water,,,hydrochloric acid,
['1-142-CAS-3181931'],water,,water,hydrochloric acid,
['1-125-CAS-3230960'],sodium acetate,,water; methanol+water,acetonitrile+methanol,acetonitrile
['1-132-CAS-3229963'],,methanol; water,,ethyl acetate,
['1-142-CAS-3178920'],water,,water,sulfuric acid,
['1-142-CAS-3184884'],water,,water,methanol,
['1-142-CAS-3184437'],water,,water,methanol,
['1-142-CAS-3184286'],water,,water,methanol,
['1-142-CAS-3182234'],water,,water,methanol,
['1-142-CAS-3179867'],water,,water,methanol,
['1-142-CAS-3179632'],water,,water,methanol,
['1-132-CAS-3228455'],water,methanol; water,,ethanol,
['1-131-CAS-3185687'],water,,,,
['1-131-CAS-3183300'],water,,,,
['1-142-CAS-3185610'],water,,,acetic acid+hydrochloric acid,
['1-124-CAS-3227071'],,,,,acetonitrile
['1-124-CAS-3223379'],,,,,acetonitrile
['1-124-CAS-3189482'],,,,,acetonitrile
['1-124-CAS-3186943'],,,,,acetonitrile
['1-143-CAS-3180255'],nitric acid,,,,
['1-142-CAS-3179235'],water,,water,water,
['1-132-CAS-3229991'],water,methanol; water,,methanol,
['1-139-CAS-3223869'],,,,,acetonitrile
['1-139-CAS-3222959'],,,,,acetonitrile
['1-139-CAS-3222502'],,,,,acetonitrile
['1-139-CAS-3196518'],,,,,acetonitrile
['1-124-CAS-3225774'],,,,,acetonitrile
['1-124-CAS-3186997'],,,,,acetonitrile
['1-132-CAS-3229598'],water,methanol; water,,hexane,
['1-142-CAS-3184419'],water,,,water,
['1-132-CAS-3227812'],water,methanol; water,,acetone,
['1-142-CAS-3182718'],water,,water,sodium hydroxide,
['1-131-CAS-3195341'],methanol,methanol,,methanol+water,
['1-142-CAS-3194520'],methanol+water,methanol; water,,methanol,
['1-132-CAS-3229894'],water,methanol; water,,methanol,
['1-143-CAS-3178341'],unknown,ammonium acetate,water,nitric acid,
['1-119-CAS-3183130'],unknown,ammonium acetate,water,nitric acid,
['1-119-CAS-3180763'],unknown,ammonium acetate,water,nitric acid,
['1-143-CAS-3177714'],water,methanol; water,methanol; water,methanol,
['1-142-CAS-3182594'],water,,,nitric acid,
['1-142-CAS-3185731'],nitric acid+water,water,water,unknown,
['1-142-CAS-3179073'],water,,water,hydrochloric acid,
['1-131-CAS-3182668'],hydrochloric acid,methanol; water,methanol,unknown,acetonitrile
['1-142-CAS-3187413'],methanol+water,methanol; water,,acetonitrile,
['1-131-CAS-3180095'],hydrochloric acid,methanol; water,methanol,unknown,acetonitrile
['1-142-CAS-3189575'],methanol+water,methanol; water,,methanol,
['1-142-CAS-3192282'],methanol+water,methanol; water,,methanol,
['1-142-CAS-3186748'],methanol+water,methanol; water,,methanol+nitric acid,
['1-125-CAS-3177745'],phosphate,methanol; water,acetonitrile+water,ethyl acetate; ethyl acetate+hexane,methanol+water
['1-131-CAS-3178547'],hydrochloric acid,methanol; water,acetic acid+methanol,methanol+water,acetonitrile
['1-142-CAS-3188219'],methanol+water,methanol; water,,ethanol,
['1-131-CAS-3184127'],hydrochloric acid,methanol; water,acetic acid+methanol,methanol+water,acetonitrile
['1-142-CAS-3196967'],methanol+water,methanol; water,,unknown,
['1-124-CAS-3183451'],,,,,
['1-124-CAS-3185478'],,,,,
['1-119-CAS-3185421'],,,,,
['1-124-CAS-3194673'],,,,,
['1-104-CAS-3177971'],phosphate,,,unknown,
['1-104-CAS-3181692'],phosphate,,,hydrochloric acid,
['1-104-CAS-3187471'],,water,water,unknown,
['1-101-CAS-3191625'],unknown,,,ethanol+phosphate,
['1-101-CAS-3188801'],unknown,,,ethanol+phosphate,
['1-119-CAS-3178596'],unknown,,,hydrochloric acid,nitric acid
['1-124-CAS-3190150'],,,,acetonitrile,
['1-119-CAS-3181194'],acetic acid+sodium acetate,methanol; water,,acetonitrile,
['1-124-CAS-3195417'],,,,ethanol,
['1-104-CAS-3183388'],phosphate,,,nitric acid+water,
['1-104-CAS-3177721'],phosphate,,,nitric acid+water,
['1-124-CAS-3192781'],,,,acetone,
['1-119-CAS-3180760'],water,,,hydrochloric acid,hydrochloric acid
['1-124-CAS-3190434'],,methanol; water,water,methanol,water
['1-119-CAS-3178389'],water,,water,hydrochloric acid,
['1-104-CAS-3183552'],phosphate+water,,,nitric acid+water,
['1-104-CAS-3179864'],phosphate+water,,,nitric acid+water,
['1-104-CAS-3180548'],phosphate,,,sulfuric acid,
['1-124-CAS-3185194'],sodium phosphate,methanol; water,unknown; methanol+water,ethyl acetate+methanol,unknown
['1-120-CAS-3178297'],hexane,hexane,hexane; dichloromethane+hexane,dichloromethane,
['1-124-CAS-3192903'],,,,methanol,
['1-124-CAS-3188523'],,,,methanol,
['1-124-CAS-3188459'],,,,methanol,
['1-124-CAS-3188458'],,,,methanol,
['1-120-CAS-3187435'],,acetonitrile; methanol; water,water,methanol,methanol+water
['1-119-CAS-3178973'],unknown,unknown,,phosphate; hydrochloric acid,water
['1-119-CAS-3183858'],unknown,methanol; water,,methanol,
['1-104-CAS-3180871'],phosphate,,,hydrochloric acid,
['1-119-CAS-3185297'],water,,water,hydrochloric acid,
['1-119-CAS-3182696'],water,,water,hydrochloric acid,
['1-119-CAS-3185600'],water,,,hydrochloric acid,hydrochloric acid
['1-119-CAS-3179338'],acetic acid+sodium acetate,methanol; water,,methanol,
['1-119-CAS-3195338'],,water,,water; phosphate; hydrochloric acid,water
['1-119-CAS-3178467'],water,,water,nitric acid,
['1-120-CAS-3191460'],,acetonitrile; methanol; water,water,methanol; acetone,methanol+water
['1-119-CAS-3224847'],water,hydrochloric acid; unknown,,hydrochloric acid,
['1-124-CAS-3186568'],acetonitrile+water,acetonitrile; water,acetonitrile+water,acetonitrile,
['1-119-CAS-3179455'],unknown,,,nitric acid,nitric acid
['1-124-CAS-3188806'],,,,water,
['1-124-CAS-3193862'],acetonitrile+water,acetonitrile; water,acetonitrile+water,acetonitrile,
['1-119-CAS-3185219'],acetic acid+sodium acetate,methanol; water,,unknown,
['1-119-CAS-3183102'],water,,,nitric acid,nitric acid
['1-119-CAS-3179263'],unknown,,,nitric acid,nitric acid
['1-104-CAS-3181850'],water,,,water,
['1-119-CAS-3184497'],acetic acid+sodium acetate,methanol; water,,methanol,
['1-104-CAS-3184512'],water,,,sulfuric acid,
['1-119-CAS-3179277'],water,methanol; water,,methanol,
